ID,Order,Suborder,Superfamily,Family,Subfamily,Tribu,Subtribu,GenusOriginal,Genus,Subgenus,Species,Subspecies,Author,Year,Type,Stage,Validity,Rejections,Accessions,Citation,Host,HostOrgan,Locality,City,Country,Continent,LATD,LOND,CollectionDate,Collector,CollectionMethod,Taxonomist,DateDetermination,Institution,Observations,Order
CIP-311-05,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,,,,1,,,,,,,,,,,2,,,,Resana,Huancayo,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de caida 1,"Doria, C.",21-Sep-05,,,1
CIP-011-07,Coleoptera,Adephaga,Caraboidea,Carabidae,Harpalinae,Pterostichini,Euchroina,,Blennidus,,sp. 1,,,,,,,,21,,Potato,,Ñuñunhuayo,Junín,Perú,America del Sur,,,20-Feb-06,"Alcazar, J.",,,,, Inicialmente como Carabidae sp. 5,1
CIP-006-90,Lepidoptera,Glossata,Noctuoidea,Erebidae,Boletobiinae,Eublemmini,,,Eublemma,,recta,,,,,,,2,5,,Sweetpotato,,Huaraz,Ancash,Perú,,,,16-Sep-89,"Murphy, H.",,por comparacion,,,,3
CIP-001-04,Diptera,Brachycera,Tephritoidea,Tephritidae,,,,,,,,,,,,,,,3,,Potato,,Andenes,Cuzco,Perú,America del Sur,,,23-May-02,"Scurrah, M.",,,,,"Se alimenta de semilla de la papa, obtrenido de bayas.",5
CIP-001-05,Hymenoptera,Apocrita,Chalcidoidea,Pteromalidae,,,,,,,,,,,,,,,1,,,,San Bartolo,Huasahuasi,Perú,America del Sur,,,22-Jun-05,"Cañedo, V.",Trampa de intercepcion,"Doria, C.",3-Oct-05,,,6
CIP-001-06,Diptera,Nematocera,Tipuloidea,Tipulidae,Tipulinae,Tipulini,,,Tipula,,,,,,,,,,5,,,,Resana,Huasahuasi,Perú,America del Sur,,,13-Apr-06,"Cañedo, V.",Trampa Malaise,,,,,7
CIP-001-07,Coleoptera,Adephaga,Caraboidea,Carabidae,,,,,,,sp. 9,,,,,,,,10,,,,Ñuñunhuayo,Huancayo,Perú,America del Sur,,,30-Mar-06,"Alcazar, J.",,,,,Campo 10,8
CIP-086-07,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Deltocephalinae,Deltocephalini ,,,Amplicephalus,,sp.,,,,,,,,1,,,,Rieran,Junín,Perú,America del Sur,,,7-May-06,"Cañedo, V.",,,,,JR-220-006,1099
CIP-001-88,Diptera,Brachycera,Opomyzoidea,Agromyzidae,Agromyzinae,Ophiomyiini,,,Melanagromyza,,caerulea,,(Malloch),1913,,,,16,26 + 1 tubo,,Sweetpotato,,La Molina,Lima,Perú,America del Sur,,,13-May-88,"Alcazar, J.",,"Norrbon, A. L. ",19-Apr-90,PSI USDA,Recuperado de botones florales de camote Ipomoea batatae. Se alimenta de anteras.,10
CIP-001-89,Hymenoptera,Apocrita,Chalcidoidea,Eulophidae,Eulophinae,,,,Diglyphus,,websteri,,Crawford,1912,,,,,7,,,,La Molina,Lima,Perú,America del Sur,,,15-Sep-85,"Palacios, M.",,,,,"Parte terminal del femur y parte inicial de la tibia de color blanco, el resto negro. Parasito de mosca minadiora liriomyza huidobrensis",11
CIP-001-90,Lepidoptera,Glossata,Gelechioidea,Cosmopterigidae,Cosmopteriginae,,,,Cosmopterix,,sp.,,,,,,,,5,,Sweetpotato,,Carabayllo,Lima,Perú,America del Sur,,,13-Dec-89,"Cañedo, V.",,,,,,12
